
StnID: kbos    Profile Thermal Adjust:  0.0       Cloud RH threshold:  85%    Average Hourly Sounding: NO

 Date/hour    FHr  Wind    SfcT   Ptype   SR |Snow||Sleet|| FZRA|| QPF    CumSR|TotSN||TotPL||TotZR|| TQPF   S%| I%| L%
180108/0900Z 117  23006KT  16.8F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
180108/1000Z 118  23006KT  17.7F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
180108/1100Z 119  23006KT  18.4F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
180108/1200Z 120  23006KT  19.1F  SNOW    8:1| 0.1|| 0.00|| 0.00|| 0.015    8:1|  0.1|| 0.00|| 0.00|| 0.02  100|  0|  0
----------------------------------------------+----++-----+-------------++--------------++-------------++-----------+---+---
180108/1500Z 123  22007KT  23.8F  SNOW    5:1| 0.0|| 0.00|| 0.00|| 0.010    7:1|  0.2|| 0.00|| 0.00|| 0.03  100|  0|  0
180108/1800Z 126  22008KT  31.5F  SNOW   13:1| 0.1|| 0.00|| 0.00|| 0.011    9:1|  0.3|| 0.00|| 0.00|| 0.04  100|  0|  0
180108/2100Z 129  21007KT  30.3F          0:1| 0.0|| 0.00|| 0.00|| 0.000    9:1|  0.3|| 0.00|| 0.00|| 0.04    0|  0|  0
180109/0000Z 132  22005KT  30.6F  SNOW   10:1| 0.1|| 0.00|| 0.00|| 0.010    9:1|  0.4|| 0.00|| 0.00|| 0.05  100|  0|  0
----------------------------------------------+----++-----+-------------++--------------++-------------++-----------+---+---
180109/0300Z 135  22006KT  32.8F SNRAPL   0:1| 0.0|| 0.07|| 0.00|| 0.045    9:1|  0.4|| 0.07|| 0.00|| 0.09   66| 12| 22
180109/0600Z 138  21005KT  33.5F  RAIN    0:1| 0.0|| 0.00|| 0.00|| 0.023    9:1|  0.4|| 0.07|| 0.00|| 0.12    0|  0|100
180109/0900Z 141  16003KT  33.3F  RAIN    0:1| 0.0|| 0.00|| 0.00|| 0.099    9:1|  0.4|| 0.07|| 0.00|| 0.21    0|  0|100
180109/1200Z 144  11003KT  35.1F  RAIN    0:1| 0.0|| 0.00|| 0.00|| 0.292    9:1|  0.4|| 0.07|| 0.00|| 0.51    0|  0|100
----------------------------------------------+----++-----+-------------++--------------++-------------++-----------+---+---
180109/1500Z 147  32006KT  35.7F  RAIN    0:1| 0.0|| 0.00|| 0.00|| 0.422    9:1|  0.4|| 0.07|| 0.00|| 0.93    0|  0|100
180109/1800Z 150  30005KT  34.6F  RAIN    0:1| 0.0|| 0.00|| 0.00|| 0.042    9:1|  0.4|| 0.07|| 0.00|| 0.97    0|  0|100
180109/2100Z 153  28007KT  35.1F          0:1| 0.0|| 0.00|| 0.00|| 0.000    9:1|  0.4|| 0.07|| 0.00|| 0.97    0|  0|  0
180110/0000Z 156  28008KT  33.7F          0:1| 0.0|| 0.00|| 0.00|| 0.000    9:1|  0.4|| 0.07|| 0.00|| 0.97    0|  0|  0
----------------------------------------------+----++-----+-------------++--------------++-------------++-----------+---+---
180110/0300Z 159  27007KT  27.4F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
180110/0600Z 162  26009KT  26.7F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
180110/0900Z 165  26012KT  24.5F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
180110/1200Z 168  27008KT  19.7F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
----------------------------------------------+----++-----+-------------++--------------++-------------++-----------+---+---
180110/1500Z 171  28011KT  21.5F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
180110/1800Z 174  28013KT  21.3F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
180110/2100Z 177  28010KT  17.0F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
180111/0000Z 180  28008KT  12.3F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
============================================================================================================================

