
StnID: ksdf    Profile Thermal Adjust:  0.0       Cloud RH threshold:  85%    Average Hourly Sounding: NO

 Date/hour    FHr  Wind    SfcT   Ptype   SR |Snow||Sleet|| FZRA|| QPF    CumSR|TotSN||TotPL||TotZR|| TQPF   S%| I%| L%
190817/1500Z 123  19006KT  82.3F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
190817/1800Z 126  21007KT  90.0F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
190817/2100Z 129  24009KT  90.9F  RAIN    0:1| 0.0|| 0.00|| 0.00|| 0.011    0:1|  0.0|| 0.00|| 0.00|| 0.01    0|  0|100
190818/0000Z 132  21007KT  86.8F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.01    0|  0|  0
190818/0300Z 135  19006KT  83.6F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.01    0|  0|  0
190818/0600Z 138  22006KT  80.1F  RAIN    0:1| 0.0|| 0.00|| 0.00|| 0.048    0:1|  0.0|| 0.00|| 0.00|| 0.06    0|  0|100
----------------------------------------------+----++-----+-------------++--------------++-------------++-----------+---+---
190818/0900Z 141  21006KT  78.5F  RAIN    0:1| 0.0|| 0.00|| 0.00|| 0.009    0:1|  0.0|| 0.00|| 0.00|| 0.07    0|  0|100
190818/1200Z 144  27004KT  76.5F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.07    0|  0|  0
190818/1500Z 147  VRB02KT  80.0F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.07    0|  0|  0
190818/1800Z 150  29007KT  88.4F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.07    0|  0|  0
190818/2100Z 153  32007KT  89.0F    DZ    0:1| 0.0|| 0.00|| 0.00|| 0.044    0:1|  0.0|| 0.00|| 0.00|| 0.11    0|  0|100
190819/0000Z 156  33006KT  83.9F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.11    0|  0|  0
----------------------------------------------+----++-----+-------------++--------------++-------------++-----------+---+---
190819/0300Z 159  02005KT  78.0F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.11    0|  0|  0
190819/0600Z 162  01005KT  73.7F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.11    0|  0|  0
190819/0900Z 165  03004KT  72.4F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.11    0|  0|  0
190819/1200Z 168  02004KT  71.1F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.11    0|  0|  0
190819/1500Z 171  03004KT  80.5F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.11    0|  0|  0
190819/1800Z 174  03005KT  84.6F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
----------------------------------------------+----++-----+-------------++--------------++-------------++-----------+---+---
190819/2100Z 177  02005KT  87.2F          0:1| 0.0|| 0.00|| 0.00|| 0.000    0:1|  0.0|| 0.00|| 0.00|| 0.00    0|  0|  0
190820/0000Z 180  02006KT  81.9F    DZ    0:1| 0.0|| 0.00|| 0.00|| 0.012    0:1|  0.0|| 0.00|| 0.00|| 0.01    0|  0|100
============================================================================================================================

