STATION =  70.20N 148.47W ASC
19062713    12
****************************************************
 ASC  19062713 FORECAST PROJECTION= 0
 LYR  TEMP DEPR   KTS DIR  PRES   RH  OMEG
  48 -42.2 99.0  16.7 155.   22.   0.    0.
  47 -44.2 99.0  12.0 160.   28.   0.    0.
  46 -45.1 99.0  10.0 151.   34.   0.    0.
  45 -46.3 99.0   7.9 142.   40.   0.    0.
  44 -47.3 99.0   6.3 140.   47.   0.    0.
  43 -47.8 99.0   3.6 151.   54.   0.    0.
  42 -47.4 99.0   2.8 164.   62.   0.    0.
  41 -47.1 99.0   3.0  58.   71.   0.    0.
  40 -47.1 99.0   5.5 354.   81.   0.    0.
  39 -47.4 99.0   6.8 347.   94.   0.    0.
  38 -47.7 99.0  10.4 352.  108.   0.    0.
  37 -47.6 99.0  14.5 344.  122.   0.    0.
  36 -47.3 99.0  17.4 344.  136.   0.    0.
  35 -46.9 99.0  21.7 347.  150.   0.    0.
  34 -46.8 99.0  26.1 346.  164.   0.    0.
  33 -47.1 99.0  32.3 347.  178.   0.    0.
  32 -49.4 23.8  44.8 343.  192.   4.    0.
  31 -52.8 15.1  55.7 339.  206.  14.    0.
  30 -54.5 10.0  66.2 341.  220.  28.    0.
  29 -53.6  8.2  76.0 341.  234.  36.    0.
  28 -52.3  4.6  85.8 336.  249.  57.   -1.
  27 -49.4  2.5  86.5 335.  266.  75.   -1.
  26 -45.7  2.6  85.3 334.  284.  75.   -2.
  25 -41.7  2.5  81.5 334.  305.  77.   -2.
  24 -37.7  2.9  77.2 334.  327.  74.   -2.
  23 -33.9  2.2  73.6 334.  353.  80.   -2.
  22 -30.2  2.5  69.3 332.  381.  79.   -1.
  21 -26.6  2.7  62.7 330.  412.  78.   -1.
  20 -23.3  2.2  53.4 329.  447.  82.   -1.
  19 -19.7  1.9  40.1 330.  486.  85.   -1.
  18 -16.1  1.9  29.7 330.  529.  85.    0.
  17 -12.3  1.8  24.0 330.  577.  86.    1.
  16  -8.8  2.9  22.8 331.  627.  80.    2.
  15  -5.4  6.7  22.0 331.  675.  59.    2.
  14  -2.0 15.7  21.4 325.  719.  29.    1.
  13   0.8 14.2  22.2 319.  760.  34.    1.
  12   3.7 11.8  20.6 320.  798.  42.    1.
  11   6.4 14.9  16.4 323.  834.  34.    1.
  10   8.1 20.3   9.2 314.  866.  22.    0.
   9   9.0 19.6   3.2 256.  894.  24.    0.
   8  10.0 19.2   4.5 173.  920.  25.    0.
   7  10.8 21.4   8.3 147.  944.  21.    1.
   6  10.1 19.0  13.3 137.  966.  25.    1.
   5   8.8 13.8  14.1 128.  984.  37.    0.
   4   8.7 10.5  13.3 117.  998.  48.    0.
   3   9.5 10.7  12.6 115. 1008.  47.    0.
   2  10.1 10.8  11.7 114. 1014.  47.   -1.
   1  10.8 10.8  10.3 115. 1017.  47.    0.
 PRCP(HR)=.000   PRCP(TOT)= 0.000   SFC PRES=1018.
****************************************************
 ASC  19062713 FORECAST PROJECTION= 9
 LYR  TEMP DEPR   KTS DIR  PRES   RH  OMEG
  50 -32.0 99.0  15.7 140.   12.   0.    0.
  49 -37.5 99.0  16.7 159.   17.   0.    0.
  48 -41.8 99.0  17.4 158.   22.   0.    0.
  47 -44.1 99.0  14.2 147.   28.   0.    0.
  46 -45.3 99.0  11.4 147.   34.   0.    0.
